                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5092,                0.00847,                0.04661,                 5.4629,             0.00023333,             0.00023333,             0.00023333
                      2,                 4.9216,                0.04237,                0.10169,                 5.4577,               0.000462,               0.000462,               0.000462
                      3,                 4.1546,                0.09746,                 0.2161,                 5.4299,             0.00068124,             0.00068124,             0.00068124
                      4,                 3.2127,                0.19068,                0.39831,                 5.3871,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.3665,                0.26271,                0.44915,                 5.3535,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.7264,                0.29661,                0.48729,                 5.3133,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.2573,                 0.3178,                0.49153,                 5.2817,             0.00062918,             0.00062918,             0.00062918
                      8,                0.91994,                0.30932,                0.50424,                  5.265,             0.00061504,             0.00061504,             0.00061504
                      9,                0.72974,                0.33898,                0.51271,                 5.2363,              0.0006009,              0.0006009,              0.0006009
                     10,                 0.5613,                0.36017,                0.53814,                 5.2297,             0.00058677,             0.00058677,             0.00058677
                     11,                0.43728,                0.35169,                 0.5339,                  5.227,             0.00057263,             0.00057263,             0.00057263
                     12,                0.35368,                0.35169,                0.54237,                 5.2142,             0.00055849,             0.00055849,             0.00055849
                     13,                0.29464,                0.35169,                0.54237,                 5.2012,             0.00054435,             0.00054435,             0.00054435
                     14,                0.27621,                0.33051,                0.54661,                  5.212,             0.00053022,             0.00053022,             0.00053022
                     15,                0.27536,                0.35169,                 0.5339,                 5.2108,             0.00051608,             0.00051608,             0.00051608
                     16,                0.21272,                0.34322,                0.51695,                 5.1976,             0.00050194,             0.00050194,             0.00050194
                     17,                0.17999,                0.35593,                0.52966,                 5.2013,              0.0004878,              0.0004878,              0.0004878
                     18,                0.20009,                0.36441,                0.52966,                 5.1956,             0.00047367,             0.00047367,             0.00047367
                     19,                0.17745,                0.36441,                0.53814,                 5.1927,             0.00045953,             0.00045953,             0.00045953
                     20,                 0.1569,                0.38136,                0.53814,                 5.1918,             0.00044539,             0.00044539,             0.00044539
                     21,                0.14106,                0.37288,                0.54661,                 5.1885,             0.00043126,             0.00043126,             0.00043126
                     22,                0.16476,                0.35169,                0.55085,                 5.1863,             0.00041712,             0.00041712,             0.00041712
                     23,                0.12006,                0.37288,                0.55932,                  5.188,             0.00040298,             0.00040298,             0.00040298
                     24,                0.13289,                0.38136,                0.55932,                 5.1866,             0.00038884,             0.00038884,             0.00038884
                     25,                0.12678,                0.38559,                0.54661,                 5.1649,             0.00037471,             0.00037471,             0.00037471
                     26,                  0.115,                0.37712,                0.54237,                 5.1832,             0.00036057,             0.00036057,             0.00036057
                     27,                0.10973,                0.38559,                0.54661,                 5.1845,             0.00034643,             0.00034643,             0.00034643
                     28,                0.10178,                0.38983,                0.55085,                   5.19,              0.0003323,              0.0003323,              0.0003323
                     29,                0.09808,                0.38559,                0.57203,                 5.1722,             0.00031816,             0.00031816,             0.00031816
                     30,                 0.0893,                0.39407,                0.55085,                 5.1868,             0.00030402,             0.00030402,             0.00030402
                     31,                0.10929,                0.38983,                0.54237,                 5.1624,             0.00028988,             0.00028988,             0.00028988
                     32,                0.10095,                0.39407,                0.55932,                 5.1737,             0.00027575,             0.00027575,             0.00027575
                     33,                0.09553,                0.38136,                0.54661,                 5.1664,             0.00026161,             0.00026161,             0.00026161
                     34,                0.09263,                0.39407,                0.55508,                 5.1584,             0.00024747,             0.00024747,             0.00024747
                     35,                0.09761,                0.40678,                0.54237,                 5.1567,             0.00023334,             0.00023334,             0.00023334
                     36,                0.07319,                0.38136,                0.54237,                 5.1767,              0.0002192,              0.0002192,              0.0002192
                     37,                0.07116,                0.38983,                0.55085,                 5.1638,             0.00020506,             0.00020506,             0.00020506
                     38,                0.09853,                0.40254,                0.57203,                 5.1704,             0.00019092,             0.00019092,             0.00019092
                     39,                0.09188,                0.37288,                0.55932,                 5.1784,             0.00017679,             0.00017679,             0.00017679
                     40,                0.08256,                0.38136,                0.55508,                 5.1678,             0.00016265,             0.00016265,             0.00016265
                     41,                0.08501,                0.38136,                0.55508,                 5.1566,             0.00014851,             0.00014851,             0.00014851
                     42,                0.07288,                0.38559,                0.55932,                 5.1669,             0.00013437,             0.00013437,             0.00013437
                     43,                0.07344,                0.39407,                0.55085,                 5.1785,             0.00012024,             0.00012024,             0.00012024
                     44,                0.07466,                0.39407,                0.56356,                 5.1713,              0.0001061,              0.0001061,              0.0001061
                     45,                0.05654,                0.38136,                0.55508,                 5.1679,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.07277,                0.38559,                0.55085,                 5.1625,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.06889,                0.37712,                0.56356,                 5.1566,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.08068,                0.38559,                0.55932,                 5.1617,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.06911,                0.37288,                 0.5678,                 5.1532,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.06699,                0.37712,                 0.5678,                 5.1691,             2.1277e-05,             2.1277e-05,             2.1277e-05
